date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:37:35	383/383	---M-Z	200	added ('OK')	text/plain	date:Fri,%2017%20Jan%202025%2018:37:35%20GMT	https://www.largetutoring.com/robots.txt		(from )
20:37:36	143835/143835	---M-Z	200	added ('OK')	text/html	etag:W/%22f78d982901c518f392908f077d2e3137--gzip%22	https://www.largetutoring.com/	C:/Users/kndub/OneDrive/Documents/BrightStarz/www.largetutoring.com/index.html	(from )
20:37:37	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Fri,%2017%20Jan%202025%2018:37:37%20GMT	http://static1.squarespace.com/static/5ee6af80955f9b21f959d23c/t/64fcca05746ec4712755fbfb/1694288390030/Screen+Shot+2022-01-13+at+11.05.34+AM.png?format=1500w	C:/Users/kndub/OneDrive/Documents/BrightStarz/static1.squarespace.com/static/5ee6af80955f9b21f959d23c/t/64fcca05746ec4712755fbfb/1694288390030/Screen+Shot+2022-01-13+at+11.05.34+AM.026f7.delayed	(from https://www.largetutoring.com/)
20:37:39	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/Users/kndub/OneDrive/Documents/BrightStarz/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.largetutoring.com/)
20:37:40	18352/18352	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2017%20Jan%202025%2018:37:39%20GMT	http://use.typekit.net/ik/AMiTdoWuZLWZEm-LTTxjtxrl31rzDHoFzFtFwz99aC9fe7XIfFHN4UJLFRbh52jhWDm8ZQZyZR635Q9uZR8KwRBc5Q9oZ2JDjU7SMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdP37O1syScB0iYmCjPuRdhoR-fulFc4KO1FUiABkZWF3jAF8OcFzdPUyjamTiY8Djhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1Oco8ifUySkolZPUCjW41ZWsuieNk-Ao1OcFzdPUCdhFydeyzSabCSaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUXjW4yd1sudeIljhN0jh6ldQZKjKoDSWmyScmDSeBRZPoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1Oco8ifUaiaS0jWw0dA9CiaiaOcUySci8iYmXda4TdcS0jhNlOYiaikoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOYiaikoXjW4yd1sudeIljhN0jh6ldQZKjKoDSWmyScmDSeBRZPoRdhXK2YgkdayTdAIlShNcifGHfJegMyMMeMb6MKGHfJ5gMyMMeM96MKGHfJ-gMyMMeMj6MKGHfJKgMyMMeMS6MKGHfJHgMyMMeMt6MKGHfJPgMyMMeMv6MKGHfJpgMyMMegI6MTMg34Wdr69.js	C:/Users/kndub/OneDrive/Documents/BrightStarz/use.typekit.net/ik/AMiTdoWuZLWZEm-LTTxjtxrl31rzDHoFzFtFwz99aC9fe7XIfFHN4UJLFRbh52jhWDm8ZQZyZR635Q9uZR8KwRBc5Q9oZ2JDjU7SMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu	(from https://www.largetutoring.com/)
20:37:43	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/Users/kndub/OneDrive/Documents/BrightStarz/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.largetutoring.com/)
20:37:43	38784/38784	---M--	200	added ('OK')	image/png	etag:CPifrIyknoEDEAE=	https://images.squarespace-cdn.com/content/5ee6af80955f9b21f959d23c/6061b797-0748-4a16-913e-b5acc85eee9d/Screen+Shot+2022-01-13+at+11.05.34+AM.png?content-type=image%2Fpng	C:/Users/kndub/OneDrive/Documents/BrightStarz/images.squarespace-cdn.com/content/5ee6af80955f9b21f959d23c/6061b797-0748-4a16-913e-b5acc85eee9d/Screen+Shot+2022-01-13+at+11.05.34+AM5d45.png	(from https://www.largetutoring.com/)
20:37:43	45754/45754	---M-Z	200	added ('OK')	text/javascript	etag:%22a812db41bc046aa1bb5243bd80f3daf1%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-19afba50b41adbfb8d35-min.en-US.js	C:/Users/kndub/OneDrive/Documents/BrightStarz/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-19afba50b41adbfb8d35-min.en-US.js	(from https://www.largetutoring.com/)
20:37:46	89739/89739	---M-Z	200	added ('OK')	text/javascript	etag:%2236fd1db29f8979f4d33f72caf7c6480f%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-457f4d444e0242501efb-min.en-US.js	C:/Users/kndub/OneDrive/Documents/BrightStarz/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-457f4d444e0242501efb-min.en-US.js	(from https://www.largetutoring.com/)
20:37:57	245728/245728	---M-Z	200	added ('OK')	text/javascript	etag:%22e99f3bf72eaae471251ad87586359fe8%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-61293f01d648eef165fc-min.en-US.js	C:/Users/kndub/OneDrive/Documents/BrightStarz/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-61293f01d648eef165fc-min.en-US.js	(from https://www.largetutoring.com/)
